"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"1",25,"Chase  Henley","Sr.","1B",31,122,12,36,9,2,4,31,7,"16",0,0,"0.295",0.336,0.5,25,"Sr.","1B",31,2,3,1,61,15,"2","25","46","0.54",135,"Amherst",21,0.836,0.362836567164179,0.715454703228043,-0.528,0.350857387966171,33.3271226136758,"Senior","Infield"
"2",20,"Stephen  Burke","So.","SS",31,118,20,38,11,1,1,24,11,"19",7,2,"0.322",0.394,0.458,20,"So.","SS",31,5,3,0,54,13,"3","28","30","0.93",137,"Amherst",25,0.852,0.378996350364963,2.4422480620155,-0.1216,0.515517569512139,36.0347480620155,"Sophomore","Infield"
"3",24,"Joseph  Palmo","So.","CF",31,112,37,38,11,1,3,27,21,"13",7,0,"0.339",0.46,0.536,24,"So.","CF",31,4,0,3,60,15,"4","35","27","1.30",140,"Amherst",23,0.996,0.44330802919708,9.47528999038081,0.5552,1.10008657612631,45.8274651728626,"Sophomore","Outfield"
"4",16,"Kai  Terada-Herzer","So.","OF",31,111,30,36,3,1,0,9,20,"16",6,2,"0.324",0.444,0.369,16,"So.","OF",31,4,0,5,41,4,"2","36","22","1.64",140,"Amherst",0,0.813,0.167031111111111,-20.5082515073213,-0.0223999999999999,-1.18742401501906,7.14869664082689,"Sophomore","Outfield"
"5",6,"Nick  Nardone","Sr.","3B",31,108,19,27,3,0,0,15,25,"13",5,1,"0.25",0.388,0.278,6,"Sr.","3B",31,0,1,0,30,3,"2","26","36","0.72",134,"Amherst",0,0.666,0.16125,-20.2298449612403,0.16,-1.1679025669591,6.0676550387597,"Senior","Infield"
"6",3,"Daniel  Qin","Fy.","INF",29,101,19,32,7,1,1,17,16,"13",1,1,"0.317",0.417,0.436,3,"Fy.","INF",29,2,1,2,44,9,"4","23","33","0.70",122,"Amherst",23,0.853,0.3858175,2.81994961240311,-0.9216,0.44648325442139,32.9215179457364,"First-Year","Infield"
"7",10,"Severino  Simeone","Jr.","C",28,92,23,23,4,1,5,19,15,"26",2,1,"0.25",0.386,0.478,10,"Jr.","C",28,6,1,0,44,10,"-","22","22","1.00",114,"Amherst",13,0.864,0.387226315789474,2.75953488372093,-0.5984,0.446192730817435,30.9233348837209,"Junior","Catcher"
"8",15,"William  Murphy","Jr.","2B",23,70,13,17,1,1,1,9,10,"11",7,3,"0.243",0.338,0.329,15,"Jr.","2B",23,0,0,0,23,3,"1","16","21","0.76",80,"Amherst",14,0.667,0.30879375,-2.92751937984496,-0.2224,-0.0361716102678362,15.425980620155,"Junior","Infield"
"9",7,"Kevin  Schroeder","So.","C",14,37,4,7,1,0,0,3,4,"9",1,0,"0.189",0.286,0.216,7,"So.","C",14,1,0,1,8,1,"3","10","9","1.11",43,"Amherst",0,0.502,0.115792857142857,-8.00690476190476,0.112,-0.483650556030796,-0.00757380952380807,"Sophomore","Catcher"
"10",33,"Rob  Casey III","Jr.","DH",13,33,6,5,1,0,0,3,5,"13",0,0,"0.152",0.282,0.182,33,"Jr.","DH",13,1,0,1,6,1,"-","4","11","0.36",40,"Amherst",0,0.464,0.142892307692308,-6.60799045915325,-0.1056,-0.402713856723048,1.07693261776983,"Junior","Designated Hitter"
"11",23,"Kyler  Kopacz","So.","RHP",15,33,9,12,0,0,1,6,5,"8",1,0,"0.364",0.439,0.455,23,"So.","RHP",15,1,2,1,15,1,"1","7","9","0.78",42,"Amherst",0,0.894,0.156373170731707,-6.49947816222348,0.0944,-0.374631598968824,1.6969754963131,"Sophomore","Designated Hitter"
"12",8,"Topher  Brown","Jr.","OF",12,25,5,9,4,0,0,4,4,"6",0,1,"0.36",0.484,0.52,8,"Jr.","OF",12,2,0,2,13,4,"-","4","6","0.67",33,"Amherst",0,1.004,0.305438709677419,-1.29342835708927,-0.5056,-0.0523224818180592,6.25250067516879,"Junior","Outfield"
"13",1,"Tyler  Marshall","So.","2B",12,21,2,1,0,0,0,1,3,"2",2,0,"0.048",0.16,0.048,1,"So.","2B",12,0,1,2,1,0,"1","15","4","3.75",27,"Amherst",0,0.208,0.08514,-5.66916279069767,0.3472,-0.330985238824676,-0.832382790697674,"Sophomore","Infield"
"14",28,"Chris  Murphy","Fy.","INF",8,9,1,5,0,0,0,2,2,"1",0,1,"0.556",0.692,0.556,28,"Fy.","INF",8,2,0,1,5,0,"-","2","2","1.00",14,"Amherst",0,1.248,0.222276923076923,-1.45125819916518,-0.4704,-0.108906551833721,1.48831103160406,"First-Year","Infield"
"15",11,"Matt  Santos","Sr.","",5,6,0,1,0,0,0,1,1,"5",0,0,"0.167",0.25,0.167,11,"Sr.","",5,0,1,0,1,0,"-","-","1","-",8,"Amherst",0,0.417,0.0886875,-1.6577519379845,-0.0176,-0.105440514320197,-0.218251937984496,"Senior","Infield"
"16",44,"Aidan  Park","Fy.","1B",2,2,0,0,0,0,0,0,1,"1",0,0,"0",0.333,0,44,"Fy.","1B",2,0,0,0,0,0,"-","1","-","-",3,"Amherst",0,0.333,0.2365,-0.277906976744186,-0.0176,-0.0146337557443253,0.361593023255814,"First-Year","Infield"
"17",12,"Kaylen  Xie","So.","C",3,2,0,0,0,0,0,1,0,"2",0,0,"0",0,0,12,"So.","C",3,0,1,0,0,0,"-","-","1","-",3,"Amherst",0,0,0,-0.827906976744186,0,-0.0544840551455229,-0.347906976744186,"Sophomore","Catcher"
"18",2,"Christian  Beal","0","OF",35,146,32,54,9,2,1,17,11,"19",15,2,".370",0.446,0.479,2,"0","OF",35,9,0,0,70,12,"3","31","36","0.86",166,"Bates",42,0.925,0.416763253012048,7.81914728682171,1.1088,1.08243118414334,49.9318472868217,"Sophomore","Outfield"
"19",42,"Giovanni  Torres","0","INF",36,125,20,26,6,0,0,11,13,"17",3,1,".208",0.298,0.256,42,"0","INF",36,3,0,7,32,6,"1","44","38","1.16",148,"Bates",0,0.554,0.135953191489362,-25.2456803562593,-0.0816,-1.52649304063817,2.95766148771236,"Junior","Infield"
"20",4,"Jack  Arend","0","C",33,104,24,37,6,0,0,21,34,"14",9,2,".356",0.527,0.413,4,"0","C",33,7,3,1,43,6,"2","25","30","0.83",149,"Bates",0,0.94,0.250068243243243,-12.2355284936099,0.2784,-0.523238160699342,19.980788398282,"Junior","Catcher"
"21",15,"Kyle  Carter","0","INF",33,102,21,23,2,0,0,10,11,"19",4,2,".225",0.316,0.245,15,"0","INF",33,3,1,5,25,2,"3","30","32","0.94",122,"Bates",0,0.561,0.107610256410256,-23.4911230371695,-0.2464,-1.4723694888101,-1.01976577221228,"Junior","Infield"
"22",19,"Justin  White","0","C/1B",34,101,14,30,5,0,1,17,17,"20",3,1,".297",0.419,0.376,19,"0","C/1B",34,5,1,0,38,6,"2","23","27","0.85",124,"Bates",0,0.795,0.196100806451613,-15.3701550387597,-0.1872,-0.855091445016943,9.93634496124031,"Senior","Infield"
"23",28,"Bryan  Gotti","0","INF",31,86,10,24,5,0,2,14,12,"17",0,0,".279",0.37,0.407,28,"0","INF",31,1,1,1,35,7,"2","25","21","1.19",101,"Bates",0,0.777,0.199563,-12.2481682170543,-0.2288,-0.681908798681706,8.44299478294574,"First-Year","Infield"
